03:48:06.633156 d4:1b:81:ac:5b:29 > 8a:75:31:15:cb:3e, ethertype ARP (0x0806), length 42: Reply 192.168.1.28 is-at d4:1b:81:ac:5b:29, length 28
03:48:07.554239 20:0c:86:b9:be:60 > d4:1b:81:ac:5b:29, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.28 tell 192.168.1.1, length 28
03:48:07.554252 d4:1b:81:ac:5b:29 > 20:0c:86:b9:be:60, ethertype ARP (0x0806), length 42: Reply 192.168.1.28 is-at d4:1b:81:ac:5b:29, length 28
03:48:11.674921 d4:1b:81:ac:5b:29 > 8a:75:31:15:cb:3e, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.10 tell 192.168.1.28, length 28
03:48:11.682292 8a:75:31:15:cb:3e > d4:1b:81:ac:5b:29, ethertype ARP (0x0806), length 42: Reply 192.168.1.10 is-at 8a:75:31:15:cb:3e, length 28
03:48:31.823672 8a:75:31:15:cb:3e > d4:1b:81:ac:5b:29, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.28 tell 192.168.1.10, length 28
03:48:31.823684 d4:1b:81:ac:5b:29 > 8a:75:31:15:cb:3e, ethertype ARP (0x0806), length 42: Reply 192.168.1.28 is-at d4:1b:81:ac:5b:29, length 28
03:48:35.099789 8a:75:31:15:cb:3e > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.1 tell 192.168.1.10, length 28
03:48:52.304191 8a:75:31:15:cb:3e > d4:1b:81:ac:5b:29, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.28 tell 192.168.1.10, length 28
03:48:52.304203 d4:1b:81:ac:5b:29 > 8a:75:31:15:cb:3e, ethertype ARP (0x0806), length 42: Reply 192.168.1.28 is-at d4:1b:81:ac:5b:29, length 28
03:48:55.581023 20:0c:86:b9:be:60 > d4:1b:81:ac:5b:29, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.28 tell 192.168.1.1, length 28
03:48:55.581035 d4:1b:81:ac:5b:29 > 20:0c:86:b9:be:60, ethertype ARP (0x0806), length 42: Reply 192.168.1.28 is-at d4:1b:81:ac:5b:29, length 28
03:49:00.802737 22:85:56:cf:b3:af > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.1 tell 192.168.1.15, length 28
03:49:09.274921 d4:1b:81:ac:5b:29 > 8a:75:31:15:cb:3e, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.10 tell 192.168.1.28, length 28
03:49:09.284113 8a:75:31:15:cb:3e > d4:1b:81:ac:5b:29, ethertype ARP (0x0806), length 42: Reply 192.168.1.10 is-at 8a:75:31:15:cb:3e, length 28
03:49:15.139966 8a:75:31:15:cb:3e > d4:1b:81:ac:5b:29, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.28 tell 192.168.1.10, length 28
03:49:15.139978 d4:1b:81:ac:5b:29 > 8a:75:31:15:cb:3e, ethertype ARP (0x0806), length 42: Reply 192.168.1.28 is-at d4:1b:81:ac:5b:29, length 28
03:49:39.410991 8a:75:31:15:cb:3e > d4:1b:81:ac:5b:29, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.28 tell 192.168.1.10, length 28
03:49:39.411002 d4:1b:81:ac:5b:29 > 8a:75:31:15:cb:3e, ethertype ARP (0x0806), length 42: Reply 192.168.1.28 is-at d4:1b:81:ac:5b:29, length 28
